603,1,20,8.7,핑거스미스
604,1,30,8.8,천사와 악마 1
605,1,20,8.5,셜록 홈즈 : 실크 하우스의 비밀
606,1,50,8.4,솔로몬의 위증 1
607,1,20,9.4,바람의 그림자 2
608,1,20,9,셜록 홈즈 미공개 사건집
609,1,50,8,다잉 아이
610,1,20,9,봄에 나는 없었다
611,1,30,8.8,곰탕 2
612,1,20,9,화차
613,1,20,8.7,[세트] 영원한 우정으로 1~2 세트 - 전2권
614,1,20,8.6,목요일의 아이
615,1,20,6,조각상 살인사건
616,1,20,9.3,나오미와 가나코
617,1,20,8.8,사악한 늑대
618,1,30,8.7,깊은 상처
619,1,20,8.2,셜록 홈즈 전집 6 (양장)
620,1,20,8.5,솔로몬의 위증 2
621,1,20,8.1,그리고 명탐정이 태어났다
622,1,30,9.1,애거서 크리스티 전집 2 (완전판)
623,1,20,8.6,솔로몬의 위증 3
624,1,30,9.3,삼귀
625,1,30,8.2,사신 치바
626,1,30,9.3,불을 가지고 노는 소녀 1
627,1,40,9.6,미스테리아 1호
628,1,40,9.6,기척
629,1,20,8.8,우부메의 여름
630,1,40,8.4,빅 슬립
631,1,20,8.9,일몰의 저편
632,1,30,8.1,당신의 별이 사라지던 밤
633,1,20,7.6,살인의 문 1
634,1,50,9.6,산 자와 죽은 자
635,1,40,8,푸코의 진자 1
636,1,40,8.2,매스커레이드 이브
637,1,40,8.1,디지털 포트리스 1
638,1,20,8.9,셜록 홈즈 전집 3 (양장)
639,1,30,8.9,어나더
640,1,30,8.5,악인
641,1,30,8,셜록 홈즈 전집 7 (양장)
642,1,20,7.6,살인의 문 2
643,1,20,8.3,밀실살인게임 2.0
644,1,40,8.7,낙원 1
645,1,20,9.2,벌집을 발로 찬 소녀 1
646,1,20,9.3,잔혹한 어머니의 날 1
647,1,20,9.4,수상한 사람들
648,1,20,9.3,인사이트 밀
649,1,30,9.1,여우가 잠든 숲 2
650,1,30,9.1,잔혹한 어머니의 날 2
651,1,40,8.7,교통경찰의 밤
652,1,20,8.3,비밀 (합본)
653,1,40,8.2,야행
655,1,20,9.2,십자가와 반지의 초상
656,1,30,8.4,바티스타 수술 팀의 영광
657,1,30,8.8,음의 방정식
658,1,30,8.6,흑백
659,1,30,8.9,아웃 1
660,1,30,9.4,별도 없는 한밤에
661,1,30,9.2,미스터리 서점의 크리스마스 이야기
662,1,30,7.2,셜록 홈즈 전집 8 (양장)
663,1,20,7.5,십각관의 살인
664,1,40,9.2,외딴집 - 상
665,1,40,8.5,둘 중 누군가 그녀를 죽였다
666,1,30,9.3,장미의 이름 - 상
667,1,40,8.5,게임의 이름은 유괴
668,1,30,8.6,안주
669,1,20,8.6,열세 번째 이야기
670,1,20,8.3,셜록 홈즈 전집 9 (양장)
671,1,30,9.1,외딴집 - 하
672,1,40,8.8,천 년의 침묵
673,1,20,8.4,셜록 홈즈 전집 4 (양장)
674,1,40,9.4,금빛 눈의 고양이
675,1,20,8.4,환상의 여인
676,1,20,8.9,괴수전
677,1,40,8.8,투명인간은 밀실에 숨는다
678,1,30,8.8,Y의 비극
679,1,40,6.6,시인장의 살인
680,1,50,8.2,옥문도
681,1,20,7.8,졸업
682,1,20,8.9,영원의 아이 - 상
683,1,20,6.7,히스토리언 - 전3권
684,1,20,8.8,마술 피리
685,1,20,9.1,눈물점
686,1,30,8.9,맥파이 살인 사건
687,1,40,8.2,내가 그를 죽였다
688,1,20,7.5,수수께끼 풀이는 저녁식사 후에
689,1,30,8.4,미스테리아 3호
690,1,20,7.9,ABC 살인사건
691,1,20,8,탐정 클럽
692,1,30,8.5,시계관의 살인
693,1,30,8.3,점성술 살인사건
694,1,40,9.5,아들
695,1,20,9.1,"기발한 발상, 하늘을 움직이다"
696,1,40,9.4,잠긴 방
697,1,30,8.2,요리코를 위해
698,1,50,9.4,미스테리아 2호
699,1,20,8.6,11/22/63 - 1
700,1,30,9,레드브레스트
701,1,20,8.5,편지
702,1,20,8,잠자는 숲
703,1,20,8.5,"기억나지 않음, 형사"
704,1,40,9.2,레오파드
705,1,30,9.2,"벚꽃, 다시 벚꽃"
